estado_comprador,sujeto_obligado,proveedor,rfc,situacion,definitivo_dof,fecha_contrato,firmado_despues_definitivo,tipo_procedimiento,ejercicio,importe,monto_mxn_millones,importe_plausible,direccion_anuncio
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-21,False,Adjudicación directa,2024,276952.69,0.28,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-07,False,Adjudicación directa,2024,276952.4,0.28,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-05,False,Adjudicación directa,2024,276830.87,0.28,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-13,False,Adjudicación directa,2024,276830.87,0.28,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-26,False,Adjudicación directa,2024,276015.91,0.28,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-17,False,Adjudicación directa,2024,275925.72,0.28,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-03,False,Adjudicación directa,2024,275650.7,0.28,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-20,False,Adjudicación directa,2024,275647.22,0.28,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-18,False,Adjudicación directa,2024,274898.51,0.27,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-27,False,Adjudicación directa,2024,274506.77,0.27,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-18,False,Adjudicación directa,2024,271077.12,0.27,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-09,False,Adjudicación directa,2024,261737.31,0.26,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-26,False,Adjudicación directa,2024,259378.9,0.26,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-08,False,Adjudicación directa,2024,258777.8,0.26,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,258777.8,0.26,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-22,False,Adjudicación directa,2024,258386.45,0.26,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,254913.47,0.25,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-14,False,Adjudicación directa,2024,253372.63,0.25,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,247224.92,0.25,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,247146.29,0.25,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,237806.81,0.24,True,
MICHOACÁN DE OCAMPO,MIC - SECRETARIA DEL BIENESTAR,Eduardo Alcaraz Torres,AATE650628LZ7,Presunto,,2024-11-07,False,Adjudicación directa,2025,235000.0,0.24,False,https://so.secoem.michoacan.gob.mx/wp-content/uploads/2025/06/BN25.pdf
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,232131.72,0.23,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-01-31,False,Adjudicación directa,2024,232131.72,0.23,True,
QUINTANA ROO,"ROO - ADMINISTRACION PORTUARIA INTEGRAL DE QUINTANA ROO, S.A. DE C.V.",Mario Alberto Sosa Huerta,SOHM6103278A8,Presunto,,2025-03-25,False,Adjudicación directa,2025,178060.0,0.18,True,https://drive.google.com/file/d/1PRHuQYocL0qytO17VRhBPmBFbqrEALqM/view?usp=sharing
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-22,False,Adjudicación directa,2024,170534.62,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-12,False,Adjudicación directa,2024,170534.34,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-22,False,Adjudicación directa,2024,169587.09,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-12,False,Adjudicación directa,2024,169055.27,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-27,False,Adjudicación directa,2024,169055.27,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-06,False,Adjudicación directa,2024,168456.95,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-07,False,Adjudicación directa,2024,167925.13,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-14,False,Adjudicación directa,2024,167925.13,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-31,False,Adjudicación directa,2024,167925.13,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-04,False,Adjudicación directa,2024,167858.65,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-07,False,Adjudicación directa,2024,167060.9,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-13,False,Adjudicación directa,2024,166794.99,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-05,False,Adjudicación directa,2024,166794.99,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-21,False,Adjudicación directa,2024,166728.51,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-07,False,Adjudicación directa,2024,166728.51,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-23,False,Adjudicación directa,2024,166200.96,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-17,False,Adjudicación directa,2024,166196.68,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-26,False,Adjudicación directa,2024,166130.85,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-03,False,Adjudicación directa,2024,166130.2,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-20,False,Adjudicación directa,2024,166130.2,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-04,False,Adjudicación directa,2024,165893.0,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-18,False,Adjudicación directa,2024,165664.85,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-30,False,Adjudicación directa,2024,165651.15,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-12,False,Adjudicación directa,2024,165650.88,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-27,False,Adjudicación directa,2024,165332.46,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-27,False,Adjudicación directa,2024,165295.28,0.17,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-24,False,Adjudicación directa,2024,164900.91,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-12,False,Adjudicación directa,2024,164900.91,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-31,False,Adjudicación directa,2024,164389.96,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-06,False,Adjudicación directa,2024,163839.58,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-18,False,Adjudicación directa,2024,163271.62,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-14,False,Adjudicación directa,2024,162578.78,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-24,False,Adjudicación directa,2024,162184.19,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-06,False,Adjudicación directa,2024,162184.19,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-19,False,Adjudicación directa,2024,162028.63,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-22,False,Adjudicación directa,2024,161780.5,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-12,False,Adjudicación directa,2024,161780.5,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-12,False,Adjudicación directa,2024,160056.21,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-14,False,Adjudicación directa,2024,157753.89,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-23,False,Adjudicación directa,2024,157744.4,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-26,False,Adjudicación directa,2024,157705.62,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-09,False,Adjudicación directa,2024,157554.45,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-04,False,Adjudicación directa,2024,157409.41,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-30,False,Adjudicación directa,2024,157138.98,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-12,False,Adjudicación directa,2024,157138.98,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-27,False,Adjudicación directa,2024,156869.91,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-12,False,Adjudicación directa,2024,156533.57,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-24,False,Adjudicación directa,2024,156533.57,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-26,False,Adjudicación directa,2024,156224.88,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-31,False,Adjudicación directa,2024,155995.42,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,155892.48,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-08,False,Adjudicación directa,2024,155892.48,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-22,False,Adjudicación directa,2024,155560.09,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-06,False,Adjudicación directa,2024,155390.0,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-06,False,Adjudicación directa,2024,155350.7,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-14,False,Adjudicación directa,2024,155172.71,0.16,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-14,False,Adjudicación directa,2024,154246.44,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-24,False,Adjudicación directa,2024,153910.1,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-06,False,Adjudicación directa,2024,153910.1,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-19,False,Adjudicación directa,2024,153641.03,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,153632.21,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,153375.66,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-12,False,Adjudicación directa,2024,151959.32,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-26,False,Adjudicación directa,2024,149604.92,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,148978.71,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,148912.23,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-14,False,Adjudicación directa,2024,147317.8,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-03-06,False,Adjudicación directa,2024,147232.25,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,145553.76,0.15,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,144143.66,0.14,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,143195.06,0.14,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,139738.17,0.14,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-01-31,False,Adjudicación directa,2024,139738.17,0.14,True,
MICHOACÁN DE OCAMPO,MIC - Colegio de Estudios Cientificos y Tecnologicos del Estado de Michoacan,JAIME JESUS TOSCANO ARREOLA,TOAJ940326R39,Presunto,,2024-06-01,False,Adjudicación directa,2024,139200.0,0.14,False,https://so.secoem.michoacan.gob.mx/wp-content/uploads/2024/07/contrato-38_0001.pdf
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,136891.19,0.14,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,133787.88,0.13,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-01-29,False,Adjudicación directa,2024,128285.4,0.13,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-02-01,False,Adjudicación directa,2024,126935.47,0.13,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-01-29,False,Adjudicación directa,2024,121723.16,0.12,True,
MICHOACÁN DE OCAMPO,MIC - Colegio de Estudios Cientificos y Tecnologicos del Estado de Michoacan,JAIME JESUS TOSCANO ARREOLA,TOAJ940326R39,Presunto,,2024-05-07,False,Adjudicación directa,2024,119999.99,0.12,False,https://so.secoem.michoacan.gob.mx/wp-content/uploads/2024/07/contrato-31_0001.pdf
MICHOACÁN DE OCAMPO,MIC - Colegio de Estudios Cientificos y Tecnologicos del Estado de Michoacan,JAIME JESUS TOSCANO ARREOLA,TOAJ940326R39,Presunto,,2024-04-10,False,Adjudicación directa,2024,80000.34,0.08,False,https://so.secoem.michoacan.gob.mx/wp-content/uploads/2024/07/contrato-13_0001.pdf
MICHOACÁN DE OCAMPO,MIC - Colegio de Estudios Cientificos y Tecnologicos del Estado de Michoacan,JAIME JESUS TOSCANO ARREOLA,TOAJ940326R39,Presunto,,2024-02-10,False,Adjudicación directa,2024,80000.01,0.08,False,http://laipdocs.michoacan.gob.mx/?wpfb_dl=557840
HIDALGO,HID - Poder Ejecutivo del Estado de Hidalgo,Construcciones Teksare S A de CV,CTE210319SQA,Presunto,,2025-07-02,False,Adjudicación directa,2025,74162.4,0.07,True,
HIDALGO,HID - Poder Ejecutivo del Estado de Hidalgo,Construcciones Teksare S A de CV,CTE210319SQA,Presunto,,2025-07-17,False,Adjudicación directa,2025,74010.91,0.07,True,
HIDALGO,HID - Poder Ejecutivo del Estado de Hidalgo,Construcciones Teksare S.A de C.V.,CTE210319SQA,Presunto,,,False,Adjudicación directa,2025,67976.0,0.07,False,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-22,False,Adjudicación directa,2024,55918.36,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-27,False,Adjudicación directa,2024,55743.0,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-12,False,Adjudicación directa,2024,55743.0,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-06,False,Adjudicación directa,2024,55545.72,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-07,False,Adjudicación directa,2024,55370.35,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-14,False,Adjudicación directa,2024,55370.35,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-31,False,Adjudicación directa,2024,55370.35,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-04,False,Adjudicación directa,2024,55348.44,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-07,False,Adjudicación directa,2024,55085.4,0.06,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-13,False,Adjudicación directa,2024,54997.71,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-07-05,False,Adjudicación directa,2024,54997.71,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-07,False,Adjudicación directa,2024,54975.79,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-08-21,False,Adjudicación directa,2024,54975.79,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-26,False,Adjudicación directa,2024,54807.68,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-09-17,False,Adjudicación directa,2024,54800.43,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-03,False,Adjudicación directa,2024,54778.51,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-05-20,False,Adjudicación directa,2024,54778.51,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-18,False,Adjudicación directa,2024,54625.07,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-06-27,False,Adjudicación directa,2024,54515.46,0.05,True,
COAHUILA DE ZARAGOZA,COA - Monclova,Comercializadora de Petroliferos C.M.P.A.MEX. SA DE CV,CPC180823G77,Presunto,,2024-04-18,False,Adjudicación directa,2024,53835.95,0.05,True,
