estado_comprador,sujeto_obligado,proveedor,rfc,situacion,definitivo_dof,fecha_contrato,firmado_despues_definitivo,tipo_procedimiento,ejercicio,importe,monto_mxn_millones,importe_plausible,direccion_anuncio
QUINTANA ROO,ROO - INSTITUTO DE INFRAESTRUCTURA FISICA EDUCATIVA  DEL ESTADO DE QUINTANA ROO,"PREYCOT, S.A. DE C.V.",PRE160106R66,Definitivo,2026-04-24,2024-08-01,False,Invitación a cuando menos tres personas,2024,4668732.04,4.67,True,http://sistemas.ifeqroo.qroo.gob.mx/transparencia/xxviiia/2024/12/contrato041.2024.pdf
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-09-12,False,Adjudicación directa,2025,4433479.4,4.43,True,"https://drive.google.com/file/d/1zcZkxLdV2j8WJPHPqHm_qBDfYagq1DHT/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta sa de cv,NCC220721SG3,Definitivo,2026-04-24,2025-02-14,False,Licitación pública,2025,4186000.0,4.19,True,https://drive.google.com/file/d/1Wq6DcihD7vGwdl3UAEL0mSPQ9FOkphW6/view?usp=drive_link
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-10-15,False,Adjudicación directa,2025,3999999.0,4.0,True,https://drive.google.com/file/d/1r_LU3naluOTMelXRVEl0TGnt8ijhr6rr/view?usp=drive_link
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-01-02,False,Adjudicación directa,2025,3507000.0,3.51,True,"https://drive.google.com/file/d/1HXwab2Cf-snDtgiSKw_6n6qNIYVpoxXw/view?usp=drive_link,"
QUINTANA ROO,ROO - COMISION DE AGUA POTABLE Y ALCANTARILLADO DEL ESTADO DE QUINTANA ROO,CONSTRUCTORA BARLE S.A. DE C.V.,CBA220225AL7,Definitivo,2025-12-12,2024-04-04,False,Invitación a cuando menos tres personas,2024,3265400.0,3.27,True,https://drive.google.com/file/d/1OyKIPhOXls4kT_TlO_S-fv0mePytgK8s/view?usp=sharing
TABASCO,TAB - SECRETARIA DE ADMINISTRACION E INNOVACION GUBERNAMENTAL (SAIG) ** EXTINTO ACDO/001/2025,"Comercio y Construcción de Tabasco, S.A. de C.V.",CCT1808139U3,Definitivo,2025-12-12,2024-08-08,False,Otra (especificar),2024,3046241.2,3.05,True,https://transparencia.tabasco.gob.mx/media/SA/2024/3/713701.pdf
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A de C.V,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Licitación pública,2025,2998924.8,3.0,True,"https://drive.google.com/file/d/1S7VYpUnoOPaDxYJtOSJJqiaz2GbysweF/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-06-25,False,Adjudicación directa,2025,2900000.0,2.9,True,"https://drive.google.com/file/d/1oWVgBJB4lG-wQHs1RxKLHlUJwBoRKEVC/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-01-15,False,Adjudicación directa,2025,2400156.0,2.4,True,"https://drive.google.com/file/d/1kye5tPDCAjn2HER19NFQ1OVovdllX8ki/view?usp=drive_link,"
