estado_comprador,sujeto_obligado,proveedor,contratos,monto_mxn_millones,pct_del_gasto_directo,directas_del_sujeto
TLAXCALA,TLA - Sistema Estatal para el Desarrollo Integral de la Familia Tlaxcala,"REPRESENTACIONES Y DISTRIBUCIONES DEL RELLO, S.A. DE C.V.",1,21.75,54.0,112.0
PUEBLA,PUE - H. Ayuntamiento de Huauchinango,PERSONA FÍSICA,38,20.68,65.4,42.0
JALISCO,JAL - Ayuntamiento de Zapotlanejo,GRUPO SANPERC S.A. DE C.V.,11,16.42,77.3,16.0
QUINTANA ROO,ROO - INSTITUTO TECNOLOGICO SUPERIOR DE FELIPE CARRILLO,INSTITUTO DE INFRAESTRUCTURA FISICA EDUCATIVA  DEL ESTADO QUINTANA ROO,1,15.23,60.8,633.0
MORELOS,MOR - Ayuntamiento de Amacuzac,SIREBA ARQUITECTOS S.A. DE C.V,10,15.07,61.7,19.0
QUINTANA ROO,ROO - INSTITUTO DE MOVILIDAD DEL ESTADO DE QUINTANA ROO,"[[2, 'Segundo apellido de la(s) persona(s) beneficiaria(s) final(es)', 'VERGARA'], [2, 'Nombre(s) de la(s) persona(s) beneficiaria(s) final(es),', 'HERNANDO'], [2, 'Primer apellido de la(s) persona(s) beneficiaria(s) final(es),', 'RÍOS']]",1,15.0,65.8,21.0
CIUDAD DE MÉXICO,CMX - Procuraduria Social de la Ciudad de Mexico,"SAHARA, MEZANINE, S.A. DE C.V., SOCIEDAD FINANCIERA DE OBJETO MÚLTIPLE ENTIDAD NO REGULADA, FIDUCIARIA",3,13.78,76.9,30.0
GUANAJUATO,GUA - Santiago Maravatio,CONTRATISTA,18,13.71,67.4,23.0
BAJA CALIFORNIA SUR,BCS - Comision Estatal del Agua,"Minimun Tecnología Ambiental, S.A. de C.V.",1,13.0,52.3,34.0
TABASCO,TAB - SECRETARIA DE CULTURA,NO DATO,16,12.87,78.6,30.0
SAN LUIS POTOSÍ,SLP - MUNICIPIO DE CIUDAD VALLES,no se genera informacion,17,12.78,85.6,21.0
MICHOACÁN DE OCAMPO,MIC - Secretaria del Medio Ambiente,Persona Física,36,12.02,70.4,51.0
SONORA,SON - Instituto de Movilidad y Transporte para el Estado de Sonora,"Distribuidora de Combustibles DCS de Sonora, S.A. de C.V.",1,11.6,68.0,15.0
SAN LUIS POTOSÍ,SLP - DIRECCION GENERAL DE PENSIONES,Seguros Sura SA de CV,2,10.49,74.0,123.0
MORELOS,MOR - Ayuntamiento de Jonacatepec de Leandro Valle,ARQUITECTURA E INGENIERIA BELAR  S.A. DE C.V.,12,10.47,51.0,25.0
COLIMA,COL - Comision de Busqueda de Personas del Estado de Colima,DCZ9901191L1,4,10.09,68.9,27.0
CIUDAD DE MÉXICO,CMX - Sistema para el Desarrollo Integral de la Familia de la Ciudad de Mexico,"Construcciones y Urbanizaciones Ivent, Sociedad Anonima de Capital Variable",1,9.96,53.8,24.0
OAXACA,OAX - SECRETARIA DE DESARROLLO ECONOMICO,AGENCIA DE EVENTOS Y SERVICIOS TURISTICOS VIVAOAX S.A DE C.V,1,9.42,56.5,18.0
CIUDAD DE MÉXICO,CMX - Secretaria de Pueblos y Barrios Originarios y Comunidades Indigenas Residentes,"RAICES FRAY SERVANDO, S.A. DE C.V.",1,8.76,77.9,20.0
TAMAULIPAS,TAM - Comision Municipal de Agua Potable y Alcantarillado del municipio de Nuevo Laredo,GARZA,1,7.33,51.9,17.0
