institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
SECRETARÍA DE SALUD,DEPARTAMENTO DE ADQUISICIONES DE LOS SERVICIOS DE SALUD,3,10,2019-05-14 00:00:00,2019-05-24 00:00:00,8,2.0,"REPAL Y ASOC (RAS190514JG3, 2019-05-14 00:00:00) | COMERCIALIZADORA REMOVE CENTRAL SA DE CV (CRC190521MH9, 2019-05-21 00:00:00) | COMERCIALIZADORA GALOMAYA SA DE CV (CGA190524DW1, 2019-05-24 00:00:00)"
COMISION NACIONAL DE LIBROS DE TEXTO GRATUITOS,DIRECCION DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,13,1989-07-19 00:00:00,1989-08-01 00:00:00,11,1.8,"UNIFORMES EL TREN SA DE CV (UIC890719V7A, 1989-07-19 00:00:00) | INGENIERIA ELECTROMECANICA Y SISTEMAS SA DE CV (IES890720IS3, 1989-07-20 00:00:00) | EFECTIVALE S DE RL DE CV (EFE8908015L3, 1989-08-01 00:00:00)"
INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,DEPARTAMENTO DE ABASTECIMIENTOS Y DEPARTAMENTO DE CONTRATACIÓN DE SERVICIOS,4,29,2012-05-15 00:00:00,2012-06-13 00:00:00,7,1.8,"MEDICAZEN SA DE CV (MED120515FH0, 2012-05-15 00:00:00) | P4 MEDIOS SA DE CV (PME120521AX0, 2012-05-21 00:00:00) | GAS RESIDENCIAL SA DE CV (GRE1206014U5, 2012-06-01 00:00:00) | FANERMEX SA DE CV (FAN120613JC6, 2012-06-13 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,SUBDELEGACION DE ADMINISTRACION,3,6,2021-08-31 00:00:00,2021-09-06 00:00:00,13,1.8,"PRO OMNIMEDIC SA DE CV (POM210831IH5, 2021-08-31 00:00:00) | DG SOLUCIONES EN INFRAESTRUCTURA SA DE CV (DSI210903MM4, 2021-09-03 00:00:00) | MANTENIMIENTO E INGENIERIA ENDE SA DE CV (MIE2109067Q3, 2021-09-06 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"UMAE HOSPITAL DE PEDIATRIA DEL CMNO, DEPARTAMENTO DE ABASTECIMIENTO Y EQUIPAMIENTO",4,24,2018-02-15 00:00:00,2018-03-11 00:00:00,12,1.8,"BLUE POINT NETWORKS SA DE CV (BPN180215JP5, 2018-02-15 00:00:00) | DÜNNCOMERCIAL SA DE CV (DNN180215NA1, 2018-02-15 00:00:00) | INSUMOS COMERCIALES DICIMART SA DE CV (ICD180217VA6, 2018-02-17 00:00:00) | WAYNE MEDICAL SA DE CV (WME180311R68, 2018-03-11 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",COORDINACIÓN DE ADMINISTRACIÓN Y FINANZAS,5,0,1985-01-01 00:00:00,1985-01-01 00:00:00,10,1.8,"MUNICIPIO DE CUAUTITLAN DE GARCIA BARRAGAN (MCG8501017W8, 1985-01-01 00:00:00) | MUNICIPIO DE HUAJICORI NAYARIT (MHN850101J28, 1985-01-01 00:00:00) | MUNICIPIO DEL NAYAR (MNA850101D9A, 1985-01-01 00:00:00) | MUNICIPIO DE RUIZ NAYARIT (MRN850101AP9, 1985-01-01 00:00:00) | MUNICIPIO DE ROSAMORADA NAYARIT (MRN850101KI6, 1985-01-01 00:00:00)"
INSTITUTO NACIONAL DE PSIQUIATRÍA RAMÓN DE LA FUENTE MUÑIZ,SUBDIRECCION DE SERVICIOS GENERALES,4,20,2015-11-19 00:00:00,2015-12-09 00:00:00,6,1.7,"AUTISMO PUEBLA AC (APU1511197WA, 2015-11-19 00:00:00) | RED VOUCHER SYSTEMS SA DE CV (RVS151124FZ8, 2015-11-24 00:00:00) | CONEXION DINAMICA HOSPITALARIOS SA DE CV (CDH151208SY4, 2015-12-08 00:00:00) | MESDIMEX SA DE CV (MES151209GY8, 2015-12-09 00:00:00)"
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,"SUBGERENCIA DE ADMINISTRACIÓN, UNIDAD REGIONAL PUEBLA",4,30,2021-06-08 00:00:00,2021-07-08 00:00:00,5,1.7,"FLAGRUM SA DE CV (FLA210608EL7, 2021-06-08 00:00:00) | JISDA CONSTRUYE SA DE CV (JCO210608LA8, 2021-06-08 00:00:00) | GRUPO SOCERVAC INTEGRAL SA DE CV (GSI210609GU6, 2021-06-09 00:00:00) | COMERCIALIZADORA BREMERTHON SA DE CV (CBR210708G62, 2021-07-08 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,HOSPITAL DE TRAUMATOLOGIA Y ORTOPEDIA NO. 21,4,15,2010-12-01 00:00:00,2010-12-16 00:00:00,114,1.7,"CAPACE MEDICAL SA DE CV (CME101201AT4, 2010-12-01 00:00:00) | DISTRIBUIDORA MEDICA GENERAL GAMMA SA DE CV (DMG1012157C7, 2010-12-15 00:00:00) | COMPUTACION GVC SA DE CV (CGV101216Q81, 2010-12-16 00:00:00) | DIAZ COMERCIALIZADORA FARMACEUTICA SA DE CV (DCF101216Q18, 2010-12-16 00:00:00)"
"TREN MAYA, S.A. DE C.V.",COORDINACIÓN GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,22,2011-10-03 00:00:00,2011-10-25 00:00:00,5,1.7,"DISTRIBUIDORA INDUSTRIAL ESMAR SA DE CV (DIE111003H21, 2011-10-03 00:00:00) | PROTOCOLOS REDES Y COMUNICACIONES SA DE CV (PRC1110175Q6, 2011-10-17 00:00:00) | VICASOEN S A P I DE CV (VIC111025898, 2011-10-25 00:00:00)"
