institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",DIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS,4,21,2015-06-12 00:00:00,2015-07-03 00:00:00,9,1.2,"ANSOF COMERCIALIZADORES SA DE CV (ACO150612873, 2015-06-12 00:00:00) | INGENIERIA ESPECIALIZADA EN ELECTRICIDAD Y MECANICA INDUSTRIAL S (IEE150615IP3, 2015-06-15 00:00:00) | TEXSKIN SA DE CV (TEX150701FU3, 2015-07-01 00:00:00) | SISTEMPROSPYC SA DE CV (SYS150703C74, 2015-07-03 00:00:00)"
PROCURADURIA DE LA DEFENSA DEL CONTRIBUYENTE,DIRECCIÓN GENERAL DE ADMINISTRACIÓN,4,27,2004-01-31 00:00:00,2004-02-27 00:00:00,4,1.2,"INSTITUTO DE INVESTIGACION EN COMPETENCIAS Y DESARROLLO HUMANO S (IIC040131TD0, 2004-01-31 00:00:00) | ARMSTRONG INTELLECTUAL CAPITAL SOLUTIONS SA DE CV (AIC040202GN2, 2004-02-02 00:00:00) | SEGARED S DE RL DE CV (SEG0402117S1, 2004-02-11 00:00:00) | EDUCACION, SOPORTE Y ASESORIA SC (ESA040227VAA, 2004-02-27 00:00:00)"
INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA MANUEL VELASCO SUÁREZ,"DIRECCIÓN DE ADMINISTRACIÓN, SUBDIRECCIÓN DE RECURSOS MATERIALES",4,18,2004-11-19 00:00:00,2004-12-07 00:00:00,7,1.1,"SOCIEDAD CORPORATIVA PARA LA SALUD SA DE CV (CSA041119GI7, 2004-11-19 00:00:00) | COMERCIALIZADORA MUNRRO SA DE CV (CMU041122GN8, 2004-11-22 00:00:00) | ZURICH PHARMA SA DE CV (ZPH041130CN7, 2004-11-30 00:00:00) | NEOLPHARMA SA DE CV (NEO041207F29, 2004-12-07 00:00:00)"
"IMPRESORA Y ENCUADERNADORA PROGRESO, S.A. DE C.V.",SUBGERENCIA DE ADQUISICIONES Y CONTRATACION DE SERVICIOS,4,29,2012-07-18 00:00:00,2012-08-16 00:00:00,22,1.1,"ROTAWEB S A P I DE CV (ROT120718CT3, 2012-07-18 00:00:00) | ABC ABASTO COMPUTACIONAL SA DE CV (AAC1207262I5, 2012-07-26 00:00:00) | KOLBUS DE MEXICO S DE RL DE CV (KME1208069M5, 2012-08-06 00:00:00) | TEXTIL GOB SA DE CV (TGO120816SS4, 2012-08-16 00:00:00)"
"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",DIRECCION DE ADMINISTRACION Y FINANZAS,4,28,2009-12-17 00:00:00,2010-01-14 00:00:00,10,1.1,"COMERCIA TECNOLOGIAS Y SOLUCIONES INTEGRADAS SC (CTS0912175W2, 2009-12-17 00:00:00) | GOLD-ONE SUPPLIES S DE RL DE CV (GSU091222148, 2009-12-22 00:00:00) | INSTRUMENTACION Y SERVICIO EN ANALITICA SA DE CV (ISE1001062F1, 2010-01-06 00:00:00) | CRIOGAS SA DE CV (CRI100114AS6, 2010-01-14 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,UMAE HOSPITAL DE GINECO OBSTETRICIA NO 4,4,25,2011-09-30 00:00:00,2011-10-25 00:00:00,4,1.1,"VITER MEDICAL SA DE CV (VME1109302M3, 2011-09-30 00:00:00) | GRUPO ROVILO SA DE CV (GRO111024685, 2011-10-24 00:00:00) | VECTOR IMPULSOR DE PROYECTOS SA DE CV (VIP111024LR4, 2011-10-24 00:00:00) | INSUMOS Y SOLUCIONES MEDICAS SA DE CV (ISM111025JF9, 2011-10-25 00:00:00)"
INSTITUTO NACIONAL DE SALUD PÚBLICA,DEPARTAMENTO DE ABASTECIMIENTO,3,29,2004-06-22 00:00:00,2004-07-21 00:00:00,8,1.1,"D Q MICROBIOLOGIA LABORATORIOS SA DE CV (DQM040622UM9, 2004-06-22 00:00:00) | KABLA COMERCIAL SA DE CV (KCO040707BB5, 2004-07-07 00:00:00) | ABALAT SA DE CV (ABA040721TS9, 2004-07-21 00:00:00)"
INSTITUTO NACIONAL DE PSIQUIATRÍA RAMÓN DE LA FUENTE MUÑIZ,SUBDIRECCION DE RECURSOS MATERIALES,5,29,2015-06-02 00:00:00,2015-07-01 00:00:00,6,1.1,"ABASTECEDORA Y DISTRIBUIDORA DEL SURESTE GARCIA HNOS SA DE CV (ADS150602359, 2015-06-02 00:00:00) | ANSOF COMERCIALIZADORES SA DE CV (ACO150612873, 2015-06-12 00:00:00) | OPERADORA Y COMERCIALIZADORA POLLUELATA SA DE CV (OCP150618UN7, 2015-06-18 00:00:00) | PHILIPS MEXICO COMMERCIAL SA DE CV (PMC1507018K6, 2015-07-01 00:00:00) | TEXSKIN SA DE CV (TEX150701FU3, 2015-07-01 00:00:00)"
SERVICIO GEOLOGICO MEXICANO,SUBGERENCIA DE ADQUISICIONES,5,29,1999-01-13 00:00:00,1999-02-11 00:00:00,11,1.0,"ANGEL FERNANDEZ Y CIA SC (AFE9901139K6, 1999-01-13 00:00:00) | METAS SA DE CV (MET99011578A, 1999-01-15 00:00:00) | ACEROS PERFILES Y HERRAJES RUSA SA DE CV (APH99011975A, 1999-01-19 00:00:00) | MICROVISA M.G. SA DE CV (MMG990204RW7, 1999-02-04 00:00:00) | CONECTIVIDAD EXPERTA CON TECNOLOGIA AVANZADA SA DE CV (CET990211P35, 1999-02-11 00:00:00)"
INSTITUTO NACIONAL DE PERINATOLOGÍA ISIDRO ESPINOSA DE LOS REYES,SUBDIRECCION DE RECURSOS MATERIALES Y CONSERVACION,5,28,2007-01-26 00:00:00,2007-02-23 00:00:00,10,1.0,"MAINEQ DE MEXICO SA DE CV (MME070126FLA, 2007-01-26 00:00:00) | CONSORCIO ARKKA SA DE CV (CAR070129JN6, 2007-01-29 00:00:00) | GADARK SA DE CV (GAD070201QJ7, 2007-02-01 00:00:00) | BIOMEDICS & REHABILITACION SA DE CV (BAR070209DS6, 2007-02-09 00:00:00) | INTEGRACION E INNOVACIONES MEDICAS SA DE CV (IEI070223QK1, 2007-02-23 00:00:00)"
INSTITUTO NACIONAL DE GERIATRÍA,INSTITUTO NACIONAL DE GERIATRIA,4,14,2004-07-07 00:00:00,2004-07-21 00:00:00,4,1.0,"KABLA COMERCIAL SA DE CV (KCO040707BB5, 2004-07-07 00:00:00) | INSTITUTO NACIONAL DE MEDICINA GENOMICA (INM0407193Q5, 2004-07-19 00:00:00) | EVOLUTION PROCES SA DE CV (EPR040720395, 2004-07-20 00:00:00) | ABALAT SA DE CV (ABA040721TS9, 2004-07-21 00:00:00)"
CENTRO NACIONAL DE METROLOGIA,DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,3,24,2003-01-20 00:00:00,2003-02-13 00:00:00,7,1.0,"BIO-VIN SA DE CV (BIO0301202B4, 2003-01-20 00:00:00) | FINAL TEST SA DE CV (FTE030211V55, 2003-02-11 00:00:00) | TECNOLOGIA E INSTRUMENTACION ANALITICA SA DE CV (TIA030213SN6, 2003-02-13 00:00:00)"
SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,SUBDIRECCIÓN DE ADQUISICIONES,5,29,2007-01-11 00:00:00,2007-02-09 00:00:00,8,1.0,"LA CRONICA DIARIA SA DE CV (CDI070111F89, 2007-01-11 00:00:00) | CARICATURAS, INTERNET, ANIMACIONES Y REVISTAS SA DE CV (CIA070123FD0, 2007-01-23 00:00:00) | RED DE RADIOS COMUNITARIAS DE MEXICO AC (RRC070125LI5, 2007-01-25 00:00:00) | GADARK SA DE CV (GAD070201QJ7, 2007-02-01 00:00:00) | IMAGENAGROPECUARIA.COM.MX SA DE CV (IMA070209FE5, 2007-02-09 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD CIUDAD SALUD,5,29,2007-07-25 00:00:00,2007-08-23 00:00:00,7,0.9,"PROFESSIONAL PHARMACY OCCIDENTE SA DE CV (PPO070725F64, 2007-07-25 00:00:00) | IMPORTADORA FC SA DE CV (IFC070731Q67, 2007-07-31 00:00:00) | ASPEN LABS SA DE CV (ALA0708221J7, 2007-08-22 00:00:00) | DISTRIBUIDORA INTERNACIONAL RALMO SA DE CV (DIR070822774, 2007-08-22 00:00:00) | MAYDIN SA DE CV (MAY0708235I4, 2007-08-23 00:00:00)"
"FONATUR INFRAESTRUCTURA, S.A. DE C.V.","GERENCIA CENTRAL, SUBGERENCIA DE ADQUISICIONES",4,10,2015-02-17 00:00:00,2015-02-27 00:00:00,5,0.9,"TUREK INGENIERIA EN CONSTRUCCION SA DE CV (TIC1502171X7, 2015-02-17 00:00:00) | ALTERNATIVA CREATIVA 360 SA DE CV (ACT150219FK1, 2015-02-19 00:00:00) | IMPLEMENTOS Y MAQUINARIA DEL SURESTE SA DE CV (IMS1502199B6, 2015-02-19 00:00:00) | VIMAOS CONSTRUCCIONES SA DE CV (VCO1502273Z3, 2015-02-27 00:00:00)"
COMISIÓN FEDERAL DE COMPETENCIA ECONÓMICA,"DIRECCION EJECUTIVA DE RECURSOS MATERIALES, ADQUISICIONES Y SERVICIOS",3,9,1990-10-10 00:00:00,1990-10-19 00:00:00,4,0.8,"PROFESIONALES EN DESARROLLO HUMANO Y ORGANIZACIONAL SC (PDH901010JA0, 1990-10-10 00:00:00) | CADGRAFICS SA DE CV (CAD901017276, 1990-10-17 00:00:00) | CONCEPTO RISOGRAFICO SA DE CV (CRI901019HW5, 1990-10-19 00:00:00)"
PROCURADURIA FEDERAL DE LA DEFENSA DEL TRABAJO,"DIRECCIÓN DE ADMINISTRACIÓN, SUBDIRECCIÓN DE ADQUISICIONES",3,7,2017-02-15 00:00:00,2017-02-22 00:00:00,4,0.8,"MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | MAGNOCOM SA DE CV (MAG170216BCA, 2017-02-16 00:00:00) | SOLUCIONES INTEGRALES ELYM S DE RL DE CV (SIE170222NV2, 2017-02-22 00:00:00)"
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,DEPARTAMENTO DE ADQUISICIONES EN IRAPUATO,3,28,2013-01-09 00:00:00,2013-02-06 00:00:00,7,0.8,"APP WHERE SA DE CV (AWH130109KV9, 2013-01-09 00:00:00) | PROVEEDOR BIOTECNOLOGICO PARA LABORATORIOS S DE RL DE CV (PBL1301142QA, 2013-01-14 00:00:00) | GOLD-ONE SUPPLIES MEXICO SA DE CV (GOS1302065E3, 2013-02-06 00:00:00)"
COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE CAMPECHE,DIRECCION DE PLANEACION,3,22,2009-10-07 00:00:00,2009-10-29 00:00:00,7,0.8,"SERVICIOS PUBLICITARIOS DE IMPACTO VISUAL SA DE CV (SPI091007FS2, 2009-10-07 00:00:00) | AUDITORES Y CONSULTORES INTEGRADOS SC (ACI091029H27, 2009-10-29 00:00:00) | ASESORES Y CONTADORES INTEGRADOS SC (ACI091029LE4, 2009-10-29 00:00:00)"
SECRETARÍA DE SALUD,SUBDIRECCIÓN DE RECUSOS MATERIALES DE LOS SERVICIOS DE SALUD DE YUCATÁN,3,18,2005-01-24 00:00:00,2005-02-11 00:00:00,3,0.8,"PROVEEDOR MEDICO Y QUIMICO SA DE CV (PMQ050124MV0, 2005-01-24 00:00:00) | ATSA DEL SURESTE SA DE CV (ASU050201HR4, 2005-02-01 00:00:00) | EQUIPOS MEDICOS Y DE RECUPERACION SA DE CV (EMR050211JF1, 2005-02-11 00:00:00)"
SECRETARIA DE CULTURA,DEPARTAMENTO DE COMITE,4,21,2021-10-19 00:00:00,2021-11-09 00:00:00,4,0.8,"COMERCIALIZADORA ELECTROPURA S DE RL DE CV (CEL211019JT8, 2021-10-19 00:00:00) | ALOHA PUBLICIDAD SA DE CV (APU2110215D2, 2021-10-21 00:00:00) | ORGANIZACION TECNOLOGICA Y CULTURAL SA DE CV (OTC2110278I2, 2021-10-27 00:00:00) | AL FIN VERDE SA DE CV (FVE211109L23, 2021-11-09 00:00:00)"
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,"SUBGERENCIA DE ADMINISTRACIÓN, UNIDAD REGIONAL COATZACOALCOS",3,22,2015-11-19 00:00:00,2015-12-11 00:00:00,3,0.8,"SUPERVISION DE INFRAESTRUCTURA DEL SUR SA DE CV (SIS1511199Q6, 2015-11-19 00:00:00) | CONSTRUCTORA VIMUCI SA DE CV (CVI151209R91, 2015-12-09 00:00:00) | SERVICIOS DE LIMPIEZA INMOBILIARIA Y URBANA S DE RL DE CV (SLI151211M89, 2015-12-11 00:00:00)"
PRODUCTORA NACIONAL DE BIOLOGICOS VETERINARIOS,DIRECCIÓN DE PLANEACIÓN Y ADMINISTRACIÓN,3,12,2013-05-23 00:00:00,2013-06-04 00:00:00,4,0.7,"MEX SHOES & CLOTHES S DE RL DE CV (MSA1305232L1, 2013-05-23 00:00:00) | DENYMAC SA DE CV (DEN1305297P7, 2013-05-29 00:00:00) | METROLOGIA INTEGRAL Y DIAGNOSTICOS ELECTRICOS SA DE CV (MID1306043R9, 2013-06-04 00:00:00)"
TRIBUNAL FEDERAL DE JUSTICIA ADMINISTRATIVA,DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,4,26,2018-01-12 00:00:00,2018-02-07 00:00:00,4,0.7,"MERKISAB SOLUTIONS SA DE CV (MSO180112BF5, 2018-01-12 00:00:00) | COMERCIALIZADORA ASEMAG SA DE CV (CAS180119PT4, 2018-01-19 00:00:00) | COMERCIALIZADORA DIAPER SA DE CV (CDI180206A61, 2018-02-06 00:00:00) | REFRIGERACION INDUSTRIAL VALMAR S DE RL DE CV (RIV1802078W2, 2018-02-07 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,"HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE LA PENÍNSULA DE YUCATÁN, DIRECCIÓN DE RECURSOS MATERIALES",4,21,2006-04-25 00:00:00,2006-05-16 00:00:00,7,0.6,"GRUPO ALDAI SA DE CV (GAL060425GM1, 2006-04-25 00:00:00) | STERN PHARMA GMBH SA DE CV (SPG060508AF7, 2006-05-08 00:00:00) | ONCOMEDIC DISTRIBUIDORA DE MEDICAMENTOS SA DE CV (ODM060511TT5, 2006-05-11 00:00:00) | SERVICIO E INTEGRACION BIOMEDICA DE MEXICO SA DE CV (SIB060516LH1, 2006-05-16 00:00:00)"
SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,"REPRESENTACIÓN ESTATAL EN OAXACA, SUDELEGACIÓN ADMINISTRATIVA",3,9,2012-05-08 00:00:00,2012-05-17 00:00:00,6,0.6,"DISTRIBUIDORES EXCLUSIVOS DE JUCHITAN SA DE CV (DEJ120508QI3, 2012-05-08 00:00:00) | HASTECH SA DE CV (HAS120510RV5, 2012-05-10 00:00:00) | INDUSTRIALIZADORA GOMEZ Y ASOCIADOS SA DE CV (IGA120517I58, 2012-05-17 00:00:00)"
SERVICIO DE ADMINISTRACION TRIBUTARIA,"ADMINISTRACIÓN GENERAL DE RECURSOS Y SERVICIOS, ADMINISTRACIÓN DE RECURSOS MATERIALES 1",3,26,2009-05-22 00:00:00,2009-06-17 00:00:00,5,0.6,"DAHFSA DE MEXICO SA DE CV (DME0905224P7, 2009-05-22 00:00:00) | LULUCAT CORPORATION MEXICO SA DE CV (LCM090604SY9, 2009-06-04 00:00:00) | GRUPO ROMAY SA DE CV (GRO090617MK7, 2009-06-17 00:00:00)"
"COMPAÑÍA OPERADORA DEL CENTRO CULTURAL Y TURISTICO DE TIJUANA, S.A. DE C.V.",GERENCIA DE RECURSOS MATERIALES,3,16,1981-03-04 00:00:00,1981-03-20 00:00:00,5,0.6,"CASTILLO MIRANDA Y COMPAÑIA SC (CMI810304SB6, 1981-03-04 00:00:00) | IRIS CHEMICAL SA DE CV (ICH810305LAA, 1981-03-05 00:00:00) | PLAZA AGUA CALIENTE S A P I DE CV (PAC8103207E8, 1981-03-20 00:00:00)"
"BANCO NACIONAL DEL EJERCITO, FUERZA AEREA Y ARMADA, S.N.C.",DEPARTAMENTO DE ADQUISICIONES,3,18,1996-07-04 00:00:00,1996-07-22 00:00:00,3,0.6,"GRUPO DE MULTISERVICIOS AZTECA SA DE CV (GMA960704J81, 1996-07-04 00:00:00) | DIRECCION SPORT SA DE CV (DSP960705PB0, 1996-07-05 00:00:00) | ISA CORPORATIVO SA DE CV (ICO960722VD7, 1996-07-22 00:00:00)"
"SOCIEDAD HIPOTECARIA FEDERAL, S.N.C.",DIRECCIÓN GENERAL ADJUNTO DE ADMINISTRACIÓN Y OPERACIONES,3,21,1989-11-01 00:00:00,1989-11-22 00:00:00,7,0.6,"GONZALEZ CORTINA GLENDER Y COMPA&IA SA DE CV (GCG891101RI8, 1989-11-01 00:00:00) | SERVICIOS Y FORMAS GRAFICAS SA DE CV (SFG891114F33, 1989-11-14 00:00:00) | UNITED PARCEL SERVICE DE MEXICO SA DE CV (UPS891122HV8, 1989-11-22 00:00:00)"
FIDEICOMISO UNIVERSIDAD MARÍTIMA Y PORTUARIA DE MÉXICO,DIRECCION DE ADMINISTRACION Y FINANZAS,3,5,2016-05-02 00:00:00,2016-05-07 00:00:00,3,0.5,"CONSTRUCCIONES, MANTENIMIENTO Y PROVEEDURIA GRUNDEN SA DE CV (CMP160502U99, 2016-05-02 00:00:00) | WAYAK MEDIA SA DE CV (WME160502DV6, 2016-05-02 00:00:00) | JT LOGISTIC COMERCIO INTERNACIONAL Y PUERTOS SA DE CV (JLC1605074NA, 2016-05-07 00:00:00)"
SERVICIOS DE SALUD DEL ESTADO DE PUEBLA,"DIRECCIÓN DE OPERACIÓN DE OBRA, BIENES, SERVICIOS GENERALES Y PROCESOS DE GESTIÓN",3,3,2023-02-24 00:00:00,2023-02-27 00:00:00,3,0.5,"COMERCIALIZADORA MACRONEXT SA DE CV (CMA2302246Q3, 2023-02-24 00:00:00) | COMERCIALIZADORA RITZOTRES SA DE CV (CRI230224SV9, 2023-02-24 00:00:00) | COMERCIALIZADORA MILLEFUL SA DE CV (CMI230227JZ8, 2023-02-27 00:00:00)"
"EL COLEGIO DE LA FRONTERA NORTE, A.C.",DIRECCION DE RECURSOS MATERIALES Y SERVICIOS,4,27,2016-04-05 00:00:00,2016-05-02 00:00:00,9,0.5,"TURNITIN MEXICO S DE RL DE CV (TME160405AU3, 2016-04-05 00:00:00) | ALLOY COMMUNICATIONS S DE RL DE CV (ACO160422JK9, 2016-04-22 00:00:00) | CREACIONES DEKORA SA DE CV (CDE160425PA5, 2016-04-25 00:00:00) | WAYAK MEDIA SA DE CV (WME160502DV6, 2016-05-02 00:00:00)"
SECRETARÍA DE EDUCACIÓN PÚBLICA,DIRECCIÓN GENERAL DE ADMINISTRACIÓN DE LA SUBSECRETARÍA DE ADMINISTRACIÓN Y FINANZAS,3,21,2019-05-10 00:00:00,2019-05-31 00:00:00,6,0.5,"INSHER DE MEXICO SA DE CV (IME190510P89, 2019-05-10 00:00:00) | WISSESS TECHNOLOGY SA DE CV (WTE190520GK6, 2019-05-20 00:00:00) | SEMVI SERVICIOS EMPRESARIALES SA DE CV (SSE190531F19, 2019-05-31 00:00:00)"
SECRETARIA DE HACIENDA Y CREDITO PUBLICO,UNIDAD DE ADMINISTRACIÓN Y FINANZAS,3,28,2017-01-19 00:00:00,2017-02-16 00:00:00,3,0.5,"SOLUCIONES EMPRESARIALES DALI SA DE CV (SED170119NP7, 2017-01-19 00:00:00) | MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | MAGNOCOM SA DE CV (MAG170216BCA, 2017-02-16 00:00:00)"
PROCURADURIA FEDERAL DEL CONSUMIDOR,DIRECCION DE ADQUISICIONES Y OBRA,3,5,2008-04-02 00:00:00,2008-04-07 00:00:00,5,0.4,"PERIODICO DIGITAL SENDERO S A P I DE CV (PDS080402H29, 2008-04-02 00:00:00) | XPERTO INTEGRAL SYSTEMS SA DE CV (XIS080404N44, 2008-04-04 00:00:00) | AMX CONTENIDO SA DE CV (ACO080407868, 2008-04-07 00:00:00)"
SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,SUBDELEGACIÓN ADMINISTRATIVA QUERÉTARO,3,7,2017-02-15 00:00:00,2017-02-22 00:00:00,3,0.4,"MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | MAGNOCOM SA DE CV (MAG170216BCA, 2017-02-16 00:00:00) | SOLUCIONES INTEGRALES ELYM S DE RL DE CV (SIE170222NV2, 2017-02-22 00:00:00)"
INSTITUTO NACIONAL DE MEDICINA GENÓMICA,DIRECCIÓN DE ADMINISTRACIÓN,3,13,2017-02-15 00:00:00,2017-02-28 00:00:00,7,0.4,"MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | MAGNOCOM SA DE CV (MAG170216BCA, 2017-02-16 00:00:00) | B.C. APLICACIONES MEDICAS INTEGRALES SA DE CV (BAM170228QR0, 2017-02-28 00:00:00)"
CENTRO DE INVESTIGACION EN QUIMICA APLICADA,DIRECCION ADMINISTRATIVA,4,26,2009-06-04 00:00:00,2009-06-30 00:00:00,6,0.4,"LULUCAT CORPORATION MEXICO SA DE CV (LCM090604SY9, 2009-06-04 00:00:00) | ATG INSTRUMENTACION SA DE CV (AIN090609I13, 2009-06-09 00:00:00) | GRUPO ROMAY SA DE CV (GRO090617MK7, 2009-06-17 00:00:00) | GRUPO PRECISION CONTROL SA DE CV (GPC090630AD7, 2009-06-30 00:00:00)"
INSTITUTO MEXICANO DE TECNOLOGIA DEL AGUA,COORDINACION DE ADMINISTRACION,3,11,2005-12-08 00:00:00,2005-12-19 00:00:00,4,0.4,"ASA AUDITORES CONSULTORES Y ASESORES SC (AAC0512085GA, 2005-12-08 00:00:00) | ATYDE MEXICO SA DE CV (AME051208JD9, 2005-12-08 00:00:00) | M&E PUBLICIDAD Y COMUNICACION HISPANA SA DE CV (MPC051219429, 2005-12-19 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,UMAE HOSPITAL DE GINECO OBSTETRICIA NO 03 DR VICTOR MANUEL ESPINOSA DE LOS REYES SANCHEZ CMN LA,4,8,2015-10-13 00:00:00,2015-10-21 00:00:00,6,0.4,"GAMS SOLUTIONS SA DE CV (GSO151013EH6, 2015-10-13 00:00:00) | DRPRO MED SA DE CV (DME151015QT2, 2015-10-15 00:00:00) | CORPORATIVO CERSANVAL SA DE CV (CCE151021CA0, 2015-10-21 00:00:00) | COMERCIT SA DE CV (COM151021KR3, 2015-10-21 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",GERENCIA REGIÓN CENTRO NORTE,3,14,2020-02-06 00:00:00,2020-02-20 00:00:00,4,0.4,"COMERCIALIZADORA EN ACONDICIONADO DE MONTERREY SA DE CV (CAM2002067N2, 2020-02-06 00:00:00) | ADAMS PROYECTOS INTEGRALES SA DE CV (API200220MN2, 2020-02-20 00:00:00) | CASHERN COMERCIALIZADORA SA DE CV (CCO200220CN4, 2020-02-20 00:00:00)"
INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS,DEPARTAMENTO DE ADQUISICIONES,3,30,2017-01-17 00:00:00,2017-02-16 00:00:00,5,0.4,"GARKEN MEDICAL SA DE CV (GME170117QQ4, 2017-01-17 00:00:00) | MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | MAGNOCOM SA DE CV (MAG170216BCA, 2017-02-16 00:00:00)"
CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,SUBDIRECCION DE RECURSOS MTERIALES Y SERVICIOS GENERALES,4,19,2012-07-04 00:00:00,2012-07-23 00:00:00,7,0.4,"METROSMART SA DE CV (MET1207048A5, 2012-07-04 00:00:00) | PAPEL ORO DEL CENTRO SA DE CV (POC120709AWA, 2012-07-09 00:00:00) | SISTEMATIZACION ITZCOATL SA DE CV (SIT120711MS2, 2012-07-11 00:00:00) | CUTTING FLUIDS SA DE CV (CFL120723EIA, 2012-07-23 00:00:00)"
"EDUCAL, S.A. DE C.V.",GERENCIA TÉCNICA ADMINISTRATIVA,3,1,2017-02-14 00:00:00,2017-02-15 00:00:00,4,0.3,"GRUPO EMPRESARIAL DE COMERCIO Y SERVICIOS GECS SA DE CV (GEC170214CVA, 2017-02-14 00:00:00) | PERSONAL SERVICES & COMERCE ADMON GROUP SA DE CV (PSA170214VB2, 2017-02-14 00:00:00) | MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00)"
CENTRO NACIONAL DE METROLOGIA,DEPARTAMENTO DE ADQUISICIONES,3,21,1997-08-15 00:00:00,1997-09-05 00:00:00,3,0.3,"GRUPO VEC COMPUTERS SA DE CV (GVC970815KA6, 1997-08-15 00:00:00) | PUNTO EUROPEO SA DE CV (PEU970902IQ9, 1997-09-02 00:00:00) | LUPEQSA SA DE CV (LUP970905V76, 1997-09-05 00:00:00)"
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,3,7,1992-07-24 00:00:00,1992-07-31 00:00:00,5,0.3,"INSTITUTO DE ESTUDIOS AVANZADOS Y DE ACTUALIZACION AC (IEA920724F99, 1992-07-24 00:00:00) | ASESORIA Y DESARROLLO INTEGRAL SA DE CV (ADI920725TV7, 1992-07-25 00:00:00) | ASEGURADORA ASERTA SA DE CV (AAS9207314T7, 1992-07-31 00:00:00)"
"LICONSA, S.A. DE C.V.",SUBGERENCIA DE ADMINISTRACIÓN Y FINANZAS EN QUERÉTARO,3,29,2004-05-27 00:00:00,2004-06-25 00:00:00,5,0.3,"ANTON PAAR MEXICO SA DE CV (APM0405279H8, 2004-05-27 00:00:00) | IMPRESOS GUILLEN SA DE CV (IGU040609UL8, 2004-06-09 00:00:00) | MEASUREMENT AND CONTROL SYSTEMS SA DE CV (MCS040625PV1, 2004-06-25 00:00:00)"
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,DEPARTAMENTO DE ADQUISICIONES,3,13,2009-06-04 00:00:00,2009-06-17 00:00:00,3,0.3,"LULUCAT CORPORATION MEXICO SA DE CV (LCM090604SY9, 2009-06-04 00:00:00) | ATG INSTRUMENTACION SA DE CV (AIN090609I13, 2009-06-09 00:00:00) | GRUPO ROMAY SA DE CV (GRO090617MK7, 2009-06-17 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,"DIRECCION DE ADMINISTRACION Y FINANZAS, SUBDIRECCION DE RECURSOS MATERIALES",3,16,1999-02-23 00:00:00,1999-03-11 00:00:00,4,0.3,"REPRESENTACIONES OPV SA DE CV (ROP990223PB0, 1999-02-23 00:00:00) | VICTORIA CONTADORES PUBLICOS ASOCIADOS SC (VCP990303GS5, 1999-03-03 00:00:00) | LABORATORIOS DE BIOLOGICOS Y REACTIVOS DE MEXICO SA DE CV (LBR990311Q29, 1999-03-11 00:00:00)"
