estado_comprador,id_entidad,id_sujeto,sujeto_obligado,ejercicio,tipo_procedimiento,materia,caracter,expediente,num_contrato,proveedor,rfc_norm,fecha_efectiva,importe,tipo_monto,moneda,direccion_anuncio,url_fallo,municipio_proveedor,cp_proveedor,origen_recursos,convenio_modif,descripcion,objeto,fecha_actualizacion,formato,rfc_valido,es_persona_moral,fecha_constitucion_rfc,nombre_sfp,multa,institucion_sancionadora,inicio,fin,plazo_txt,durante_inhabilitacion
TABASCO,27,5050,TAB - INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE TABASCO (ISSET),2024,Adjudicación directa,Servicios,Nacional,3907,ISSET/DG/DA/182/2024,SIEMENS HEALTHCARE DIAGNOSTICS S de RL de CV,SHD080618IA7,2024-07-23,746429.84,con_impuestos,MXN,https://transparencia.tabasco.gob.mx/media/ISSET/2024/4/727617.pdf,,MIGUEL HIDALGO,11560,Estatales,No,"INSTALACION, REPARACION Y MANTENIMIENTO DE EQUIPO E INSTRUMENTAL MEDICO Y DE LABORATORIO",COMPRA,2024-12-31,59766,True,True,2008-06-18,"SIEMENS HEALTHCARE DIAGNOSTICS, S. DE R.L. DE C.V.","{'monto': '566175', 'monto_cf': '             566,175.00'}","{'nombre': 'Instituto de Seguridad y Servicios Sociales de los Trabajadores del  Estado', 'clave_dependencia': '00637'}",,,,False
HIDALGO,13,2131,HID - Poder Ejecutivo del Estado de Hidalgo,2024,Adjudicación directa,Servicios,Nacional,SH-SI-DGR-001/202,SH-SI-DGR-001/2024,Radio y Televisión de Hidalgo,RTH940704P31,2024-06-14,2000000.0,con_impuestos,Pesos Mexicanos,https://hacienda.hidalgo.gob.mx/files/secretaria/DGA/2024/tercerTrimestre/Contrato/7.pdf,,Pachuca de Soto,42085,Estatales,,Prestación de servicios de difusión en medios visuales para promover diversos programas de cumplimiento de obligaciones fiscales,Prestación de servicios de difusión en medios visuales para promover diversos programas de cumplimiento de obligaciones fiscales,2024-10-10,59483,True,True,1994-07-04,RADIO Y TELEVISION DE HIDALGO,"{'monto': '105150', 'monto_cf': '             105,150.00'}","{'nombre': 'Secretaría del Bienestar', 'clave_dependencia': '00020'}",2017-09-19,2017-12-19,3 meses,False
NUEVO LEÓN,19,11060,NLE - Unidad de Integracion Educativa,2025,Adjudicación directa,Adquisiciones,Nacional,DRMS-3523/2025,DRMS-3523/2025,"BORSA COMERCIALIZADORA, S.A. DE C.V.",BCO920226PC3,2024-07-15,12644.0,con_impuestos,PESOS,https://betatransparencia.nl.gob.mx/Anexo/DescargarAnexo?Id=RlkzSVNtbHloNDQ9&doc=3523.pdf,,MONTERREY,64610,Federales,No,"Adquisicion de 4 Cafetera Programable12 Tazas  Acero Inoxidable, 1 Cafetera Urna de Café Con Capacidad de 45 Tazas Acero Inoxidable, 1 Horno Micro ondas 1.1 Pies Cubicos Color Plata, Necesarios Para Brindar Apoyo en Diversas Reuniones de Trabajo de la Direccion General de la Oficina de la Persona Titular de la Secretaria.","Adquisicion de 4 Cafetera Programable12 Tazas  Acero Inoxidable, 1 Cafetera Urna de Café Con Capacidad de 45 Tazas Acero Inoxidable, 1 Horno Micro ondas 1.1 Pies Cubicos Color Plata, Necesarios Para Brindar Apoyo en Diversas Reuniones de Trabajo de la Direccion General de la Oficina de la Persona Titular de la Secretaria.",2025-07-31,59606,True,True,1992-02-26,"BORSA COMERCIALIZADORA, S.A. DE C.V.","{'monto': '764460', 'monto_cf': '             764,460.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2012-01-26,2014-04-26,"2 años, 3 meses",False
QUINTANA ROO,23,12871,ROO - SISTEMA QUINTANARROENSE DE COMUNICACION SOCIAL,2025,Adjudicación directa,Servicios,Nacional,SQCS-AD-02-2025,SQCS-AD-02-2025,TEL CAST S.A DE C.V,TCA040802AS5,2025-01-16,545838.0,con_impuestos,MONEDA NACIONAL,https://SQCSCLOUD.myqnapcloud.com/share.cgi?ssid=f665ec789099418fafd785571132c94b,https://SQCSCLOUD.myqnapcloud.com/share.cgi?ssid=a907154fc6ad4d518ff44b86e36c7020,IZTAPALAPA,9260,Estatales,No,SERVICIO DE ENVÍO Y RECEPCIÓN DE SEÑAL SATELITAL DE RADIO Y TELEVISIÓN DIGITAL,SERVICIO DE ENVÍO Y RECEPCIÓN DE SEÑAL SATELITAL DE RADIO Y TELEVISIÓN DIGITAL,2025-10-30,59676,True,True,2004-08-02,"TEL CAST, S.A. DE C.V.","{'monto': '78885', 'monto_cf': '              78,885.00'}","{'nombre': 'Telecomunicaciones de Mexico', 'clave_dependencia': '09437'}",2009-05-20,2009-08-20,3 meses,False
CIUDAD DE MÉXICO,9,20754,CMX - Congreso de la Ciudad de Mexico,2025,Adjudicación directa,Adquisiciones,Nacional,R 0234,PEDIDO 069,"COMERCIALIZADORA ORTICHART, S.A. DE C.V.",COR141022CT0,2025-07-18,30798.0,con_impuestos,MXN,https://congresocdmx.gob.mx/archivos/oficialia/dga/69-PEDIDO-2025.pdf,https://congresocdmx.gob.mx/archivos/oficialia/dga/69-PEDIDO-2025.pdf,CUAUHTEMOC,06100,Estatales,No,ADQUISICIÓN DE FÁBRICA DE HIELO CON CAPACIDAD DIARIA DE 25 KG. Y DEPÓSITO INTEGRADO,Adquisiciones,,59413,True,True,2014-10-22,"COMERCIALIZADORA ORTICHART, S.A. DE C.V.","{'monto': '1009701', 'monto_cf': '           1,009,701.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-01-29,2027-07-29,"1 año, 6 meses",False
NUEVO LEÓN,19,11060,NLE - Unidad de Integracion Educativa,2025,Adjudicación directa,Adquisiciones,Nacional,DRMS-1962/2025,DRMS-1962/2025,"BORSA COMERCIALIZADORA, S.A. DE C.V.",BCO920226PC3,2025-01-30,1435.0,con_impuestos,PESOS,https://betatransparencia.nl.gob.mx/Anexo/DescargarAnexo?Id=cFBZQ3hxQXQ2NjQ9&doc=1962.pdf,,MONTERREY,64610,Federales,No,Adquisicion de Insumos Necesarios Para Reuniones de Trabajo de la Direccion General de Planeacion y Coordinacion Educativa.,Adquisicion de Insumos Necesarios Para Reuniones de Trabajo de la Direccion General de Planeacion y Coordinacion Educativa.,2025-01-31,59606,True,True,1992-02-26,"BORSA COMERCIALIZADORA, S.A. DE C.V.","{'monto': '764460', 'monto_cf': '             764,460.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2012-01-26,2014-04-26,"2 años, 3 meses",False
GUANAJUATO,11,1956,GUA - Celaya,2025,Adjudicación directa,Adquisiciones,Nacional,3393-3397-3406-3463-3522,3393-3397-3406-3463-3522,Grupo RYMSA,RIR160503P96,,25035.0,con_impuestos,Pesos Mexicano,,,Celaya,38060,Municipales,No,COMORA DE MATERIALES VARIOS,COMORA DE MATERIALES VARIOS,2025-05-15,59447,True,True,2016-05-03,"RYMSA IRRIGACIÓN, S. DE R.L. DE C.V.","{'monto': '482391', 'monto_cf': '             482,391.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2024-12-18,2025-12-18,1 año,False
NUEVO LEÓN,19,11060,NLE - Unidad de Integracion Educativa,2025,Adjudicación directa,Adquisiciones,Nacional,DRMS-1882/2025,DRMS-1882/2025,"BORSA COMERCIALIZADORA, S.A. DE C.V.",BCO920226PC3,2025-01-27,9512.0,con_impuestos,PESOS,https://betatransparencia.nl.gob.mx/Anexo/DescargarAnexo?Id=MWpsVjkwaWtTOTg9&doc=1882.pdf,,MONTERREY,64610,Federales,No,"Adquisicion de 2 Cafeteras Industrial de Acero Inoxidable Para 100 Tazas Con Filtro 110V, a Fin de Ser Utilizadas Para el Servicio de Coffe Break en Reuniones de Trabajo y Eventos Realizados Por la Direccion de Educacion Secundaria.","Adquisicion de 2 Cafeteras Industrial de Acero Inoxidable Para 100 Tazas Con Filtro 110V, a Fin de Ser Utilizadas Para el Servicio de Coffe Break en Reuniones de Trabajo y Eventos Realizados Por la Direccion de Educacion Secundaria.",2025-01-31,59606,True,True,1992-02-26,"BORSA COMERCIALIZADORA, S.A. DE C.V.","{'monto': '764460', 'monto_cf': '             764,460.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2012-01-26,2014-04-26,"2 años, 3 meses",False
NUEVO LEÓN,19,11135,NLE - Garcia,2024,Licitación pública,Obra pública,Nacional,OP-MGNL-RP-01/24-CP,OP-MGNL-RP-01/24-CP,"CONSTRUCTORA ROGACU, S.A. DE C.V.",CRO910807BV7,2024-02-19,209494964.5,con_impuestos,Nacional,https://trans.garcia.gob.mx/admin/uploads/01.-%20CONTRATO%20OP-MGNL-RP-01-24-CP.pdf,https://trans.garcia.gob.mx/admin/uploads/01.-%20GANADOR%20OP-MGNL-RP-01-24-CP.pdf,Monterrey,64000,Municipales,No,Construcción de paso superior vehicular.,"EL MUNICIPIO encomienda a EL PRESTADOR DE SERVICIOS, la realización de la prestación de servicios descritos en el punto No. 7 de la T. D. G., ubicada en el lugar que se indica en el punto No .8 de la misma T. D. G y éste se obliga a realizarla hasta su total terminación acatando para ello lo establecido por los diversos ordenamientos, normas y anexos señalados en el inciso D de la segunda declaración de este contrato.",2024-09-30,59606,True,True,1991-08-07,"CONSTRUCTORA ROGACU, S.A. DE C.V.","{'monto': '96611.5', 'monto_cf': '              96,611.50'}","{'nombre': 'Comision Nacional del Agua', 'clave_dependencia': '16101'}",2014-12-09,2015-03-09,3 meses,False
AGUASCALIENTES,1,499,AGU - INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,2025,Invitación a cuando menos tres personas,Adquisiciones,Internacional,IA-60-N56-901026999-T-109-2025,,"COMERCIALIZADORA ORTICHART, S.A. DE C.V.",COR141022CT0,,,techo_maximo,Peso mexicano,https://www.issea.gob.mx/DocsTranspa/DirAdqsServPat/FALLO109.pdf,https://www.issea.gob.mx/DocsTranspa/DirAdqsServPat/FALLO109.pdf,HIPODROMO CONDESA,6100,Federales,,"Para la adquisición de materiales, accesorios y suministros médicos [segunda convocatoria].",,2026-01-16,59240,True,True,2014-10-22,"COMERCIALIZADORA ORTICHART, S.A. DE C.V.","{'monto': '1009701', 'monto_cf': '           1,009,701.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-01-29,2027-07-29,"1 año, 6 meses",False
