proveedor,rfc,constituida,fecha_contrato,edad_dias,institucion,tipo_procedimiento,monto_mxn_millones,tipo_monto,direccion_anuncio
NUTRETE MYM SA DE CV,NMY2403079U6,2024-03-07,2025-01-14,313,SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,LICITACIÓN PÚBLICA,53.28,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2ba02dd384514901ab0a32fac51899ea/procedimiento
INSTITUTO DE ESTUDIOS INICIALES PARA LOS MENORES EN GUANAJUATO S,IEI230428QG2,2023-04-28,2023-11-17,203,INSTITUTO MEXICANO DEL SEGURO SOCIAL,LICITACIÓN PÚBLICA,52.11,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/92c40bfe9f264e5dbe03249cd4d42e70/procedimiento
ELEMENTCO S A P I DE CV,ELE221209E71,2022-12-09,2023-09-29,294,INSTITUTO MEXICANO DEL SEGURO SOCIAL,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,51.37,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/e28eb656cf2446349318622dd33a6029/procedimiento
SOLUCIONES INTEGRALES DE MANTENIMIENTO Y CONSERVACION SA DE CV,SIM230308C94,2023-03-08,2024-01-06,304,SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y REINSERCION SOCIAL,ADJUDICACIÓN DIRECTA POR LICITACIONES PÚBLICAS DESIERTAS,46.9,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2f9333e542e9414c8c180bd37537bf8d/procedimiento
JEA PHARMA SA DE CV,JPH2308309J7,2023-08-30,2024-02-02,156,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,ADJUDICACIÓN DIRECTA POR CASO FORTUITO O FUERZA MAYOR,42.99,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/c1c75eb1aedc43d5a44a690110d93d70/procedimiento
COMERCIALIZADORA FAMILYDUCK SA DE CV,CFA230107UC6,2023-01-07,2023-12-11,338,"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",ADJUDICACIÓN DIRECTA POR COMERCIALIZACIÓN DIRECTA,42.72,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/7b76655e74574420ad36f7b9344e1b8c/procedimiento
"VOLUNTAD,INTEGRACION,DESARROLLO,AMOR SC",VOL240209NF4,2024-02-09,2024-08-13,186,INSTITUTO MEXICANO DEL SEGURO SOCIAL,LICITACIÓN PÚBLICA,42.08,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/00f70e7d1e5d4d7c8a98fadd240fa83c/procedimiento
ASPAMEDICAL LATINOAMERICA SA DE CV,ALA240312C82,2024-03-12,2025-01-01,295,SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,42.05,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/bb8c547f6bd045adaf2aa245d4335078/procedimiento
GUARDERIAS BABY SUNSHINE SC,GBS240424TH1,2024-04-24,2024-08-02,100,INSTITUTO MEXICANO DEL SEGURO SOCIAL,LICITACIÓN PÚBLICA,41.1,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b127208268f6431f91d63ecdc13aa7cf/procedimiento
COMPAÑIA DISTRIBUIDORA Y CONSTRUCTORA HBASAC SA DE CV,DCH231027B40,2023-10-27,2024-07-22,269,SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,ADJUDICACIÓN DIRECTA POR CASO FORTUITO O FUERZA MAYOR,38.79,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/391713a478ff4acb86c4d93b379a71e9/procedimiento
COMERCIALIZADORA TONROM SA DE CV,CTO220615M5A,2022-06-15,2023-05-24,343,INSTITUTO MEXICANO DEL SEGURO SOCIAL,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,37.5,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a7cf703795f44f28ba6aae86417d26ac/procedimiento
ELEMENTCO S A P I DE CV,ELE221209E71,2022-12-09,2023-10-31,326,INSTITUTO MEXICANO DEL SEGURO SOCIAL,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,34.98,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/964a5635b40145bd85b183fc4805bfda/procedimiento
BBO FARMA SA DE CV,BFA2311162N9,2023-11-16,2024-08-20,278,INSTITUTO MEXICANO DEL SEGURO SOCIAL,ADJUDICACIÓN DIRECTA POR CASO FORTUITO O FUERZA MAYOR,34.5,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/f28f53ad997047f286f84193b78c1318/procedimiento
BBO FARMA SA DE CV,BFA2311162N9,2023-11-16,2024-08-16,274,INSTITUTO MEXICANO DEL SEGURO SOCIAL,ADJUDICACIÓN DIRECTA POR CASO FORTUITO O FUERZA MAYOR,34.5,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/3af907c46cad4fbf9b3a9ba3dd0a7341/procedimiento
OHANA ESTANCIA INFANTIL SC,OEI2312149B8,2023-12-14,2024-08-02,232,INSTITUTO MEXICANO DEL SEGURO SOCIAL,LICITACIÓN PÚBLICA,33.13,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b127208268f6431f91d63ecdc13aa7cf/procedimiento
BIOFARMTY SA DE CV,BIO221018UW0,2022-10-18,2023-09-01,318,INSTITUTO MEXICANO DEL SEGURO SOCIAL,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,32.61,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/c81a6cffc3fa4bffb8560d07f25c2a90/procedimiento
