digito,observado,pct_observado,pct_benford,z_nigrini,anomalo
1,22,5.4,30.1,10.88,True
2,3,0.7,17.6,8.92,True
3,199,48.4,12.5,21.95,True
4,42,10.2,9.7,0.28,False
5,3,0.7,7.9,5.31,True
6,45,10.9,6.7,3.35,True
7,70,17.0,5.8,9.64,True
8,26,6.3,5.1,1.0,False
9,1,0.2,4.6,4.09,True
